"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
28142713,"Natural Homestay in Downtown Asheville",1675743,"V",NA,28801,35.58468,-82.55086,"Private room",63,1,165,"2021-12-31",3.82,3,8,50,NA
45063891,"West Asheville Dream Location! Doggie door! 🐶",26586147,"Caroline",NA,28806,35.57945,-82.59225,"Entire home/apt",140,28,1,"2020-10-31",0.06,1,53,0,NA
53212851,"Outstanding Luxury Downtown Condo",167186184,"Towns",NA,28801,35.59099,-82.55199,"Entire home/apt",381,1,11,"2022-03-04",2.87,114,222,11,NA
2108335,"Bodacious Downtown Bungalow",3383961,"Diane",NA,28801,35.58601,-82.55628,"Entire home/apt",165,30,348,"2021-07-22",3.48,2,344,14,NA
35116434,"Walt Whitman Garden Spa Suite - 1889 WhiteGate Inn & Cottage",13532421,"Frank",NA,28801,35.60267,-82.54983,"Private room",414,1,1,"2021-05-02",0.09,8,260,1,NA
53826158,"Hip and trendy lower level in Asheville",390983981,"Shelby",NA,28806,35.58708,-82.61125,"Private room",80,1,4,"2022-02-20",1.48,1,353,4,NA
554757680779149568,"Crestview Cottage - Private Hot Tub, High-Speed WiFi & Dog-Friendly Yard",443139360,"Vacasa North Carolina",NA,28806,35.63361,-82.62841,"Entire home/apt",274,2,3,"2022-01-18",0.92,22,347,3,NA
35079780,"Villa Rose- On 2 acres, 1 mi to Biltmore, 4 mi DT",8552617,"Shannon",NA,28803,35.56821,-82.52468,"Entire home/apt",111,2,221,"2022-03-15",7.15,1,145,89,NA
44315914,"The Stowaway // W. Asheville",357435786,"Kara",NA,28806,35.59314,-82.59148,"Entire home/apt",125,2,45,"2022-01-02",2.57,1,0,37,NA
545641753612291328,"The Barebridge Suite ~ a cozy mountain retreat",26670598,"Yağmur",NA,28804,35.65591,-82.58473,"Entire home/apt",114,2,2,"2022-03-13",2,1,57,2,NA
32760750,"Asheville 1 Cozy Bungalow. Pets OK! 5 Min To Dwtn",107027195,"Carl",NA,28804,35.63241,-82.57841,"Entire home/apt",197,1,167,"2022-03-16",4.62,2,169,54,NA
49729529,"The heart of West Asheville.",362841999,"Jesse",NA,28806,35.58302,-82.58233,"Entire home/apt",73,28,3,"2021-12-20",0.38,1,68,3,NA
35121441,"Ralph Waldo Emerson Suite - 1889 WhiteGate Inn & Cottage",13532421,"Frank",NA,28801,35.60401,-82.54894,"Private room",414,1,0,"",NA,8,267,0,NA
38217215,"Serenity Now!",11458618,"Becky And Matt",NA,28803,35.57582,-82.53767,"Entire home/apt",90,2,194,"2022-03-18",6.37,1,44,96,NA
23343151,"City Casita Downtown - KING Bed and Free Parking!!",4507071,"Joslyn",NA,28801,35.5982,-82.55433,"Entire home/apt",182,2,145,"2022-03-13",4.26,1,77,57,NA
50156368,"Stunning Gem in the Heart of Asheville",6654868,"Lauren",NA,28801,35.60106,-82.55998,"Entire home/apt",147,1,76,"2022-03-04",8.11,1,143,76,NA
15444450,"City Sanctuary",15904121,"Maureen",NA,28804,35.60256,-82.54097,"Entire home/apt",150,4,50,"2021-11-17",0.76,1,178,1,NA
37283361,"Walkable Asheville Vacation Rental",22084479,"Molly",NA,28806,35.57026,-82.59616,"Entire home/apt",104,1,33,"2022-02-20",1.13,1,17,16,NA
40091044,"Spacious home w/hot tub-11 miles to downtown",242474849,"Jennifer",NA,28803,35.49526,-82.50326,"Entire home/apt",273,2,26,"2022-03-14",1.06,14,291,20,NA
26983436,"Beautiful cabin with private hot tub, easy drive to town. Includes Biltmore!",134903005,"Carolina Mornings",NA,28804,35.64868,-82.63697,"Entire home/apt",149,1,32,"2022-02-16",0.84,23,310,12,NA
49503489,"New Camper/ Trailer 5 min from Downtown Asheville",176087087,"Danny",NA,28806,35.59663,-82.62328,"Entire home/apt",74,1,19,"2022-01-02",2.08,4,323,19,NA
47844976,"35 Carolina Lane Loft : Elegant + Edgy  Loft Downtown on Historic Alley + One Free Off Street Parking",181480147,"Andrew",NA,28801,35.59771,-82.55314,"Entire home/apt",352,1,40,"2022-02-06",3.08,6,339,37,NA
21784784,"West Asheville Get-Away",12610486,"Jennifer",NA,28806,35.57602,-82.59122,"Entire home/apt",150,2,43,"2022-02-27",0.82,1,332,24,NA
20355406,"West Asheville Artisan’s Grotto",145187706,"Richard",NA,28806,35.57007,-82.59509,"Entire home/apt",101,3,129,"2022-03-14",2.31,1,77,38,NA
33522770,"East West Nest: Stylish and Walkable in West Avl!",3459413,"Sara",NA,28806,35.58533,-82.5767,"Entire home/apt",121,2,190,"2022-03-17",5.75,1,220,91,NA
26284618,"Hip Asheville ""Cabin-Esque"" Guesthouse",33151095,"Tiff",NA,28804,35.62088,-82.60684,"Entire home/apt",70,1,211,"2022-02-28",4.65,6,38,46,NA
35317253,"The Namaste Room at River Row Flats - Unit 104 (Pet Friendly with Fee)",250328755,"River Row Flats, Inc",NA,28806,35.58719,-82.5715,"Entire home/apt",126,1,131,"2022-02-24",3.89,15,295,36,NA
13942925,"~Front Porch Retreat~Sleeps 4~2.5 mi to D/T~",66825963,"Kathryn",NA,28804,35.62119,-82.57492,"Entire home/apt",131,3,189,"2022-02-20",2.74,1,0,12,NA
22408602,"The Sanctuary - Walk to New Belgium & Downtown",76641431,"Stephanie",NA,28806,35.58726,-82.57304,"Entire home/apt",92,1,236,"2022-03-17",4.87,2,59,37,NA
20697183,"Enjoy pet friendly Serenity Knoll!",148137080,"Jeff & Wanda",NA,28806,35.53801,-82.61329,"Entire home/apt",103,2,88,"2021-12-20",1.64,1,156,24,NA
53508986,"Lovely second floor 1 bedroom downtown",119766721,"Nina",NA,28801,35.59272,-82.55797,"Entire home/apt",105,2,8,"2022-02-20",2.12,4,75,8,NA
12543684,"10 Minutes to Downtown & Biltmore, Next to Parkway",67969363,"Jon And Emily",NA,28803,35.55371,-82.47744,"Entire home/apt",178,2,440,"2022-03-16",6.14,6,278,56,NA
36521499,"Driftwood by The River",116133463,"Libre",NA,28805,35.59251,-82.46536,"Entire home/apt",190,2,36,"2022-02-20",1.11,2,70,5,NA
48639348,"One bedroom tree house",1292070,"Annie",NA,28805,35.5957,-82.50765,"Entire home/apt",75,30,1,"2021-11-05",0.22,3,42,1,NA
28133323,"Asheville Mountain Serendipity-close to downtown",212442161,"Anne",NA,28804,35.61003,-82.54027,"Private room",131,2,57,"2022-01-02",1.38,1,89,20,NA
22968354,"The Bluebird Basement Getaway",16233515,"Jessica",NA,28806,35.61767,-82.58097,"Entire home/apt",80,1,367,"2022-03-04",7.44,4,112,91,NA
20153704,"Private Studio By UNCA, Greenway, River & Downtown",124822920,"Jill",NA,28804,35.61749,-82.56276,"Entire home/apt",84,2,169,"2022-02-19",3.03,1,341,39,NA
